,height,link,weight
536,6-1,/players/m/millebo03.shtml,185lb
537,5-11,/players/m/montema01.shtml,150lb
538,6-1,/players/n/nixonru01.shtml,195lb
539,6-0,/players/n/nunnho01.shtml,173lb
540,6-2,/players/o/olivege01.shtml,225lb
541,6-1,/players/o/osborbo02.shtml,205lb
542,5-9,/players/p/paganjo01.shtml,160lb
543,5-9,/players/p/pattoto01.shtml,185lb
544,6-4,/players/p/perryji01.shtml,190lb
545,5-11,/players/p/pichero01.shtml,165lb
546,6-0,/players/p/proctji01.shtml,165lb
547,6-0,/players/q/qualtto01.shtml,190lb
548,5-11,/players/r/rakowed01.shtml,178lb
549,6-0,/players/r/ramospe01.shtml,175lb
550,5-9,/players/r/richabo01.shtml,170lb
551,6-0,/players/r/rickeda01.shtml,190lb
552,6-1,/players/r/robinfr02.shtml,183lb
553,5-9,/players/s/schofdi01.shtml,163lb
554,6-2,/players/s/sherrla01.shtml,180lb
555,5-10,/players/s/shiffga01.shtml,165lb
556,6-4,/players/s/shipljo01.shtml,210lb
557,6-0,/players/s/silveal01.shtml,180lb
558,6-0,/players/s/smithja04.shtml,185lb
559,5-11,/players/s/smithna01.shtml,170lb
560,6-2,/players/s/streuwa01.shtml,195lb
561,6-0,/players/t/tayloha05.shtml,185lb
562,5-9,/players/t/tayloto02.shtml,170lb
563,6-1,/players/t/thorpbo02.shtml,170lb
